rank	openalex_id	year	doi	title	venue	type
1	W169672073	2007	https://doi.org/10.3233/sat190034	Lazy Satisfiability Modulo Theories	Journal on Satisfiability Boolean Modeling and Computation	article
2	W180988575	2003		DPLL with Caching: A new algorithm for #SAT and Bayesian Inference		article
3	W189719929	2005		Performing Bayesian inference by weighted model counting		article
4	W1510368738	2003	https://doi.org/10.1007/978-3-540-45069-6_1	Interpolation and SAT-Based Model Checking	Lecture notes in computer science	conference-paper
5	W1517585663	1987		The Complexity of Boolean Functions		article
6	W1565010992	1999	https://doi.org/10.1613/jair.601	The Good Old Davis-Putnam Procedure Helps Counting Models	Journal of Artificial Intelligence Research	article
7	W1589170163	1997		A survey on knowledge compilation		article
8	W1593693959	1993		Fast Generation of Prime-Irredundant Covers from Binary Decision Diagrams	Institutional Repositories DataBase (IRDB)	article
9	W1787074469	1999	https://doi.org/10.1007/3-540-49059-0_14	Symbolic Model Checking without BDDs	Lecture notes in computer science	conference-paper
10	W1985663731	1998	https://doi.org/10.1145/288548.288586	Finding all simple disjunctive decompositions using irredundant sum-of-products forms		conference-paper
11	W1999997889	1986	https://doi.org/10.1016/s0747-7171(86)80028-1	A Structure-preserving Clause Form Translation	Journal of Symbolic Computation	article
12	W2021874124	2013	https://doi.org/10.1007/s00224-013-9447-2	Compact DSOP and Partial DSOP Forms	Theory of Computing Systems	article
13	W2022846948	2006	https://doi.org/10.1145/1217856.1217859	Solving SAT and SAT Modulo Theories	Journal of the ACM	article
14	W2044560939	1999	https://doi.org/10.1109/12.769433	GRASP: a search algorithm for propositional satisfiability	IEEE Transactions on Computers	article
15	W2046239089	2003	https://doi.org/10.1016/s1571-0661(05)82542-3	Temporal Induction by Incremental SAT Solving	Electronic Notes in Theoretical Computer Science	article
16	W2057361103	1962	https://doi.org/10.1145/368273.368557	A machine program for theorem-proving	Communications of the ACM	article
17	W2062818807	2007	https://doi.org/10.1016/j.artint.2007.11.002	On probabilistic inference by weighted model counting	Artificial Intelligence	article
18	W2062897452	1960	https://doi.org/10.1145/321033.321034	A Computing Procedure for Quantification Theory	Journal of the ACM	article
19	W2089728649	2011	https://doi.org/10.2168/lmcs-7(3:19)2011	Formalization of Abstract State Transition Systems for SAT	Logical Methods in Computer Science	article
20	W2100404896	2000	https://doi.org/10.1007/10722167_36	Tuning SAT Checkers for Bounded Model Checking	Lecture notes in computer science	conference-paper
21	W2100738443	1965	https://doi.org/10.1145/321250.321253	A Machine-Oriented Logic Based on the Resolution Principle	Journal of the ACM	article
22	W2105197197	2002	https://doi.org/10.1613/jair.989	A Knowledge Compilation Map	Journal of Artificial Intelligence Research	article
23	W2107470986	2001	https://doi.org/10.1007/3-540-44798-9_4	Pruning Techniques for the SAT-Based Bounded Model Checking Problem	Lecture notes in computer science	conference-paper
24	W2111265695	2003	https://doi.org/10.5555/789083.1022826	Efficient Preimage Computation Using A Novel Success-Driven ATPG		article
25	W2112319917	2007	https://doi.org/10.1613/jair.2097	The Language of Search	Journal of Artificial Intelligence Research	article
26	W2121869744	2005		Pruning conformant plans by counting models on compiled d-DNNF representations		article
27	W2126626789	2006	https://doi.org/10.1007/11817963_39	SMT Techniques for Fast Predicate Abstraction	Lecture notes in computer science	conference-paper
28	W2140209083	2005	https://doi.org/10.1109/ictai.2005.69	Good learning and implicit model enumeration		conference-paper
29	W2151398141	2002	https://doi.org/10.1007/3-540-45657-0_19	Applying SAT Methods in Unbounded Symbolic Model Checking	Lecture notes in computer science	conference-paper
30	W2152426072	1993	https://doi.org/10.1016/0743-1066(93)90018-c	Solving the incremental satisfiability problem	The Journal of Logic Programming	article
31	W2186752618	2012	https://doi.org/10.1007/978-3-642-30353-1_36	Dsharp: Fast d-DNNF Compilation with sharpSAT	Lecture notes in computer science	conference-paper
32	W2294335085	2011	https://doi.org/10.3233/sat190082	Reusing the Assignment Trail in CDCL Solvers	Journal on Satisfiability Boolean Modeling and Computation	article
33	W2741018875	2017	https://doi.org/10.24963/ijcai.2017/100	Efficient Weighted Model Integration via SMT-Based Predicate Abstraction		conference-paper
34	W2741061345	2017	https://doi.org/10.24963/ijcai.2017/93	An Improved Decision-DNNF Compiler		conference-paper
35	W2790974881	2018	https://doi.org/10.1007/s10817-018-9455-7	A Verified SAT Solver Framework with Learn, Forget, Restart, and Incrementality	Journal of Automated Reasoning	article
36	W2889374987	2018	https://doi.org/10.4230/lipics.esa.2018.28	Weighted Model Counting on the GPU by Exploiting Small Treewidth	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
37	W2904298505	2018	https://doi.org/10.1109/ictai.2018.00111	Dualizing Projected Model Counting		conference-paper
38	W2937129136	2019	https://doi.org/10.1016/j.artint.2019.04.003	Advanced SMT techniques for weighted model integration	Artificial Intelligence	article
